column A,count,category,Product Listing Page,About Page,notes
manifestationmatters.com,180,standalone_domain,https://manifestationmatters.com/manifestation-matters-store/,https://manifestationmatters.com/category/law-of-attraction/,"has shop, long essays, no direct about page, but summary of LoA"
nextlevelsoul.com,151,standalone_domain,https://watch.nextlevelsoul.com/category/events_&_workshops,https://nextlevelsoul.com/blog/,"store is appearal, but there is a courses page"
elliotoracle.com,89,standalone_domain,https://elliotoracle.com/shop/,https://elliotoracle.com/,home page acts as about
dailydevotionalinchrist.com,64,other,,,not related: mainly links to social media
icandosomething.com,39,other,,,weird
conjuredcardea.com,39,standalone_domain,https://conjuredcardea.com/collections/all-products,https://conjuredcardea.com/,
bodymindspiritworld.pro,32,other,,,dead link
imberraven.com,28,standalone_domain,https://imberraven.com/collections/all,,
goodinthehead.com,28,standalone_domain,https://goodinthehead.com/books-for-sale/,https://goodinthehead.com/the-mental-hospital/,
enchanteddragonflyma.com,28,standalone_domain,https://www.enchanteddragonflyma.com/s/shop,https://www.enchanteddragonflyma.com/#AImbkY,
tanyafengshui.com,27,standalone_domain,https://tanyafengshui.com/feng-shui-products/,https://tanyafengshui.com/about-me/,
successguardian.com,27,other,,,mainly blog no products
atlantisscalar.com,26,standalone_domain,https://www.atlantisscalar.com/scalar-services/,https://www.atlantisscalar.com/about-atlantis-scalar/,
thesecret.tv,24,standalone_domain,https://www.thesecret.tv/store/,https://www.thesecret.tv/our-mission/,
dramitjain.org,23,standalone_domain,https://dramitjain.org/,https://dramitjain.org/ourstory/,
divineselections.net,23,standalone_domain,https://divineselections.net/services,https://divineselections.net/about,
reikilunas.com,22,other,,,redirects to hellobluma.com
hypsee.com,22,standalone_domain,https://www.hypsee.com/,https://www.hypsee.com/psychic/Rev_Rivera,Individual profiles of psychics
dianeleven.com,22,standalone_domain,https://dianeleven.com/shop,https://dianeleven.com/about-us,
reirei.co.uk,21,other,,,redirects to https://divineconsciousness451476739.wordpress.com/
wefithealthwellness.studio,20,other,,,more religious fitness focused
akashicalchemy.me,20,other,,,dead link
manifestyourmiracles.com,19,other,,,might be dead/defunct?
tarotbymonique.com,18,standalone_domain,https://tarotbymonique.com/?post_type=product,https://tarotbymonique.com/,
empressofthenightslight.com,18,standalone_domain,https://empressofthenightslight.com/shoutouts/U2hvdXRvdXQ6NjRiZDY5YTYxOWE0ODgyNmNkNmQ3ZmM3?canGoBack=true,https://empressofthenightslight.com/,very odd animation
transcendingreality.co,17,standalone_domain,https://transcendingreality.co/store,https://transcendingreality.co/about-megan,
tonyadee.tv,17,standalone_domain,https://www.tonyadee.tv/courses,https://www.tonyadee.tv/about,
ourmysticalcrystals.com,17,other,,,dead link
sheilazimmerman.com,16,standalone_domain,https://sheilazimmerman.com/service-check-out/,https://sheilazimmerman.com/about/,
meganmary.com,15,standalone_domain,https://meganmary.com/dreamwork/,https://meganmary.com/about/,
gnostictv.com,15,standalone_domain,https://gnostictv.com/catalog,,
